Definition,Definition (Numbers),Display Name,Display Name (Numbers),Regular Expression,Kind/Type Order,Units/Facets (Boolean),Units/Facets (String/Enumeration),Units/Facets (Imperial),Units/Facets (Metric),Precision (Imperial),Precision (Metric),Stage,Phase,Markers,Equipment
aexDischargeFanPressureHiAlarm,aexDischargeFanPressureHiAlarm,Air Exchanger Discharge Fan Pressure High Alarm,Air Exchanger Discharge Fan Pressure High Alarm,aexDischargeFanPressureHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,discharge,air,fan,pressure,high,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanPressureHiSp,aexDischargeFanPressureHiSp,Air Exchanger Discharge Fan Pressure High Setpoint,Air Exchanger Discharge Fan Pressure High Setpoint,aexDischargeFanPressureHiSp,Number,,,inches_of_water,pascal,2,1,,,"aex,discharge,air,fan,pressure,high,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanPressureLoAlarm,aexDischargeFanPressureLoAlarm,Air Exchanger Discharge Fan Pressure Low Alarm,Air Exchanger Discharge Fan Pressure Low Alarm,aexDischargeFanPressureLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,discharge,air,fan,pressure,low,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanPressureLoSp,aexDischargeFanPressureLoSp,Air Exchanger Discharge Fan Pressure Low Setpoint,Air Exchanger Discharge Fan Pressure Low Setpoint,aexDischargeFanPressureLoSp,Number,,,inches_of_water,pascal,2,1,,,"aex,discharge,air,fan,pressure,low,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanRuntime,aexDischargeFanRuntime,Air Exchanger Discharge Fan Runtime,Air Exchanger Discharge Fan Runtime,aexDischargeFanRuntime,Number,,,hour,hour,1,1,,,blacklist,"AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanRuntime,aexDischargeFanRuntime,Air Exchanger Discharge Fan Runtime,Air Exchanger Discharge Fan Runtime,aexDischargeFanRuntime,Number,,,hour,hour,1,1,,,blacklist,"AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanSpeed,aexDischargeFanSpeed,Air Exchanger Discharge Fan Speed,Air Exchanger Discharge Fan Speed,aexDischargeFanSpeed,Number,,,percent,percent,1,1,,,"aex,discharge,air,fan,speed,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanSpeedFb,aexDischargeFanSpeedFb,Air Exchanger Discharge Fan Speed Feedback,Air Exchanger Discharge Fan Speed Feedback,aexDischargeFanSpeedFb,Number,,,percent,percent,1,1,,,"aex,discharge,air,fan,speed,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanSpeedMaxSp,aexDischargeFanSpeedMaxSp,Air Exchanger Discharge Fan Speed Max Setpoint,Air Exchanger Discharge Fan Speed Max Setpoint,aexDischargeFanSpeedMaxSp,Number,,,percent,percent,1,1,,,"aex,discharge,air,fan,speed,max,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanSpeedMinSp,aexDischargeFanSpeedMinSp,Air Exchanger Discharge Fan Speed Min Setpoint,Air Exchanger Discharge Fan Speed Min Setpoint,aexDischargeFanSpeedMinSp,Number,,,percent,percent,1,1,,,"aex,discharge,air,fan,speed,min,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanSpeedOvr,aexDischargeFanSpeedOvr,Air Exchanger Discharge Fan Speed Override,Air Exchanger Discharge Fan Speed Override,aexDischargeFanSpeedOvr,Number,,,percent,percent,1,1,,,"aex,discharge,air,fan,speed,ovr","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanSpeedSp,aexDischargeFanSpeedSp,Air Exchanger Discharge Fan Speed Setpoint,Air Exchanger Discharge Fan Speed Setpoint,aexDischargeFanSpeedSp,Number,,,percent,percent,1,1,,,"aex,discharge,air,fan,speed,effective,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanStarts,aexDischargeFanStarts,Air Exchanger Discharge Fan Starts,Air Exchanger Discharge Fan Starts,aexDischargeFanStarts,Number,,,,,0,0,,,"aex,discharge,air,fan,starts,sensor","AHU,DOAS,ERU,HRU,RTU"
aexDischargeFanStatus,aexDischargeFanStatus,Air Exchanger Discharge Fan Status,Air Exchanger Discharge Fan Status,aexDischargeFanStatus,Bool,On/Off,On/Off,,,,,,,"aex,discharge,air,fan,status,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanTorque,aexDischargeFanTorque,Air Exchanger Discharge Fan Torque,Air Exchanger Discharge Fan Torque,aexDischargeFanTorque,Number,,,percent,percent,1,1,,,"aex,discharge,air,fan,torque,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanVoltage,aexDischargeFanVoltage,Air Exchanger Discharge Fan Voltage,Air Exchanger Discharge Fan Voltage,aexDischargeFanVoltage,Number,,,volt,volt,1,1,,N,"aex,discharge,air,fan,volt,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFlow,aexDischargeFlow,Air Exchanger Discharge Flow,Air Exchanger Discharge Flow,aexDischargeFlow,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"aex,discharge,air,flow,sensor","AFMS,AHU,CU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeHumidity,aexDischargeHumidity,Air Exchanger Discharge Humidity,Air Exchanger Discharge Humidity,aexDischargeHumidity,Number,,,percent_relative_humidity,percent_relative_humidity,1,1,,,"aex,discharge,air,humidity,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeIsoDamper,aexDischargeIsoDamper,Air Exchanger Discharge Isolation Damper Command,Air Exchanger Discharge Isolation Damper Command,aexDischargeIsoDamper,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,discharge,iso,air,damper,status,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeIsoDamperFb,aexDischargeIsoDamperFb,Air Exchanger Discharge Isolation Damper Feedback,Air Exchanger Discharge Isolation Damper Feedback,aexDischargeIsoDamperFb,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,discharge,iso,air,damper,status,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargePressure,aexDischargePressure,Air Exchanger Discharge Pressure,Air Exchanger Discharge Pressure,aexDischargePressure,Number,,,inches_of_water,pascal,2,1,,,"aex,discharge,air,static,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeTemp,aexDischargeTemp,Air Exchanger Discharge Temperature,Air Exchanger Discharge Temperature,aexDischargeTemp,Number,,,fahrenheit,celsius,1,1,,,"aex,discharge,air,temp,sensor","AFMS,AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeTempLoAlarm,aexDischargeTempLoAlarm,Air Exchanger Discharge Temperature Low Alarm,Air Exchanger Discharge Temperature Low Alarm,aexDischargeTempLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,discharge,air,temp,low,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeVelPressure,aexDischargeVelPressure,Air Exchanger Discharge Velocity Pressure,Air Exchanger Discharge Velocity Pressure,aexDischargeVelPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,discharge,air,dynamic,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustEnthalpy,aexExhaustEnthalpy,Air Exchanger Exhaust Enthalpy,Air Exchanger Exhaust Enthalpy,aexExhaustEnthalpy,Number,,,btu_per_pound,kilojoules_per_kilogram,1,1,,,"aex,exhaust,air,enthalpy,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFan,aexExhaustFan,Air Exchanger Exhaust Fan Command,Air Exchanger Exhaust Fan Command,aexExhaustFan,Bool,On/Off,On/Off,,,,,,,"aex,exhaust,air,fan,status,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanAlarm,aexExhaustFanAlarm,Air Exchanger Exhaust Fan Alarm,Air Exchanger Exhaust Fan Alarm,aexExhaustFanAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,exhaust,air,fan,common,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanAlarmReset,aexExhaustFanAlarmReset,Air Exchanger Exhaust Fan Alarm Reset,Air Exchanger Exhaust Fan Alarm Reset,aexExhaustFanAlarmReset,Bool,Reset/Normal,Reset/Normal,,,,,,,"aex,air,fan,alarm,reset,exhaust","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanBypass,aexExhaustFanBypass,Air Exchanger Exhaust Fan Bypass,Air Exchanger Exhaust Fan Bypass,aexExhaustFanBypass,Bool,Bypass/Normal,Bypass/Normal,,,,,,,"aex,exhaust,air,fan,bypass,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanCurrent,aexExhaustFanCurrent,Air Exchanger Exhaust Fan Current,Air Exchanger Exhaust Fan Current,aexExhaustFanCurrent,Number,,,ampere,ampere,1,1,,N,"aex,exhaust,air,fan,current,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanDCVoltage,aexExhaustFanDCVoltage,Air Exchanger Exhaust Fan DC Voltage,Air Exchanger Exhaust Fan DC Voltage,aexExhaustFanDCVoltage,Number,,,volt,volt,1,1,,,"aex,exhaust,air,fan,dcVolt,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanDirection,aexExhaustFanDirection,Air Exchanger Exhaust Fan Direction,Air Exchanger Exhaust Fan Direction,aexExhaustFanDirection,Bool,Forward/Reverse,Forward/Reverse,,,,,,,"aex,exhaust,air,fan,direction,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanDriveAlarm,aexExhaustFanDriveAlarm,Air Exchanger Exhaust Fan Drive Alarm,Air Exchanger Exhaust Fan Drive Alarm,aexExhaustFanDriveAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,exhaust,air,fan,drive,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanDriveTemp,aexExhaustFanDriveTemp,Air Exchanger Exhaust Fan Drive Temperature,Air Exchanger Exhaust Fan Drive Temperature,aexExhaustFanDriveTemp,Number,,,fahrenheit,celsius,1,1,,,"aex,exhaust,air,fan,driveTemp,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanEnergy,aexExhaustFanEnergy,Air Exchanger Exhaust Fan Energy,Air Exchanger Exhaust Fan Energy,aexExhaustFanEnergy,Number,,,kilowatt_hour,kilowatt_hour,0,0,,,"aex,exhaust,air,fan,energy,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanEnteringPressure,aexExhaustFanEnteringPressure,Air Exchanger Exhaust Fan Entering Pressure,Air Exchanger Exhaust Fan Entering Pressure,aexExhaustFanEnteringPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,exhaust,air,fan,entering,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanFault,aexExhaustFanFault,Air Exchanger Exhaust Fan Fault,Air Exchanger Exhaust Fan Fault,aexExhaustFanFault,Bool,Fault/Normal,Fault/Normal,,,,,,,"aex,exhaust,air,fan,fault","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanFrequency,aexExhaustFanFrequency,Air Exchanger Exhaust Fan Frequency,Air Exchanger Exhaust Fan Frequency,aexExhaustFanFrequency,Number,,,hertz,hertz,1,1,,,"aex,exhaust,air,fan,freq,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanHandMode,aexExhaustFanHandMode,Air Exchanger Exhaust Fan Hand/Auto Mode,Air Exchanger Exhaust Fan Hand/Auto Mode,aexExhaustFanHandMode,Bool,Hand/Auto,Hand/Auto,,,,,,,"aex,exhaust,air,fan,handMode,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanLeavingPressure,aexExhaustFanLeavingPressure,Air Exchanger Exhaust Fan Leaving Pressure,Air Exchanger Exhaust Fan Leaving Pressure,aexExhaustFanLeavingPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,exhaust,air,fan,leaving,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanMaintSwitch,aexExhaustFanMaintSwitch,Air Exchanger Exhaust Fan Maintenance Switch,Air Exchanger Exhaust Fan Maintenance Switch,aexExhaustFanMaintSwitch,Bool,On/Off,On/Off,,,,,,,"maintenance,switch,cmd,aex,fan,air,exhaust","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanMotorShortAlarm,aexExhaustFanMotorShortAlarm,Air Exchanger Exhaust Fan Motor Short Alarm,Air Exchanger Exhaust Fan Motor Short Alarm,aexExhaustFanMotorShortAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,exhaust,air,fan,motor,short,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanMotorSpeed,aexExhaustFanMotorSpeed,Air Exchanger Exhaust Fan Motor Speed,Air Exchanger Exhaust Fan Motor Speed,aexExhaustFanMotorSpeed,Number,,,revolutions_per_minute,revolutions_per_minute,0,0,,,"aex,exhaust,air,fan,motorSpeed,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanMotorTemp,aexExhaustFanMotorTemp,Air Exchanger Exhaust Fan Motor Temperature,Air Exchanger Exhaust Fan Motor Temperature,aexExhaustFanMotorTemp,Number,,,fahrenheit,celsius,1,1,,,"aex,exhaust,air,fan,motorTemp,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanOvr,aexExhaustFanOvr,Air Exchanger Exhaust Fan Override,Air Exchanger Exhaust Fan Override,aexExhaustFanOvr,Bool,On/Off,On/Off,,,,,,,"aex,exhaust,air,fan,status,ovr","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanPowerReal,aexExhaustFanPowerReal,Air Exchanger Exhaust Fan Real Power,Air Exchanger Exhaust Fan Real Power,aexExhaustFanPowerReal,Number,,,kilowatt,kilowatt,1,1,,N,"aex,exhaust,air,fan,power,real,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanPressureDelta,aexExhaustFanPressureDelta,Air Exchanger Exhaust Fan Pressure Delta,Air Exchanger Exhaust Fan Pressure Delta,aexExhaustFanPressureDelta,Number,,,inches_of_water,pascal,2,1,,,"aex,exhaust,air,fan,common,pressure,delta,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanPressureHiAlarm,aexExhaustFanPressureHiAlarm,Air Exchanger Exhaust Fan Pressure High Alarm,Air Exchanger Exhaust Fan Pressure High Alarm,aexExhaustFanPressureHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,exhaust,air,fan,pressure,high,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanPressureHiSp,aexExhaustFanPressureHiSp,Air Exchanger Exhaust Fan Pressure High Setpoint,Air Exchanger Exhaust Fan Pressure High Setpoint,aexExhaustFanPressureHiSp,Number,,,inches_of_water,pascal,2,1,,,"aex,exhaust,air,fan,pressure,high,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanPressureLoAlarm,aexExhaustFanPressureLoAlarm,Air Exchanger Exhaust Fan Pressure Low Alarm,Air Exchanger Exhaust Fan Pressure Low Alarm,aexExhaustFanPressureLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,exhaust,air,fan,pressure,low,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanPressureLoSp,aexExhaustFanPressureLoSp,Air Exchanger Exhaust Fan Pressure Low Setpoint,Air Exchanger Exhaust Fan Pressure Low Setpoint,aexExhaustFanPressureLoSp,Number,,,inches_of_water,pascal,2,1,,,"aex,exhaust,air,fan,pressure,low,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanRuntime,aexExhaustFanRuntime,Air Exchanger Exhaust Fan Runtime,Air Exchanger Exhaust Fan Runtime,aexExhaustFanRuntime,Number,,,hour,hour,1,1,,,blacklist,"AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanRuntime,aexExhaustFanRuntime,Air Exchanger Exhaust Fan Runtime,Air Exchanger Exhaust Fan Runtime,aexExhaustFanRuntime,Number,,,hour,hour,1,1,,,blacklist,"AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanSpeed,aexExhaustFanSpeed,Air Exchanger Exhaust Fan Speed,Air Exchanger Exhaust Fan Speed,aexExhaustFanSpeed,Number,,,percent,percent,1,1,,,"aex,exhaust,air,fan,speed,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanSpeedFb,aexExhaustFanSpeedFb,Air Exchanger Exhaust Fan Speed Feedback,Air Exchanger Exhaust Fan Speed Feedback,aexExhaustFanSpeedFb,Number,,,percent,percent,1,1,,,"aex,exhaust,air,fan,speed,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanSpeedMaxSp,aexExhaustFanSpeedMaxSp,Air Exchanger Exhaust Fan Speed Max Setpoint,Air Exchanger Exhaust Fan Speed Max Setpoint,aexExhaustFanSpeedMaxSp,Number,,,percent,percent,1,1,,,"aex,exhaust,air,fan,speed,max,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanSpeedMinSp,aexExhaustFanSpeedMinSp,Air Exchanger Exhaust Fan Speed Min Setpoint,Air Exchanger Exhaust Fan Speed Min Setpoint,aexExhaustFanSpeedMinSp,Number,,,percent,percent,1,1,,,"aex,exhaust,air,fan,speed,min,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanSpeedOvr,aexExhaustFanSpeedOvr,Air Exchanger Exhaust Fan Speed Override,Air Exchanger Exhaust Fan Speed Override,aexExhaustFanSpeedOvr,Number,,,percent,percent,1,1,,,"aex,exhaust,air,fan,speed,ovr","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanSpeedSp,aexExhaustFanSpeedSp,Air Exchanger Exhaust Fan Speed Setpoint,Air Exchanger Exhaust Fan Speed Setpoint,aexExhaustFanSpeedSp,Number,,,percent,percent,1,1,,,"aex,exhaust,air,fan,speed,effective,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanStarts,aexExhaustFanStarts,Air Exchanger Exhaust Fan Starts,Air Exchanger Exhaust Fan Starts,aexExhaustFanStarts,Number,,,,,0,0,,,"aex,exhaust,air,fan,starts,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanStatus,aexExhaustFanStatus,Air Exchanger Exhaust Fan Status,Air Exchanger Exhaust Fan Status,aexExhaustFanStatus,Bool,On/Off,On/Off,,,,,,,"aex,exhaust,air,fan,status,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFanTorque,aexExhaustFanTorque,Air Exchanger Exhaust Fan Torque,Air Exchanger Exhaust Fan Torque,aexExhaustFanTorque,Number,,,percent,percent,1,1,,,"aex,exhaust,air,fan,torque,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
